SourceNode	SourceLayer	TargetNode	TargetLayer	Color
6	Layer1	51	Layer2	#FF3333
6	Layer1	52	Layer2	#FF3333
6	Layer1	53	Layer2	#FF3333
6	Layer1	54	Layer2	#FF3333
6	Layer1	55	Layer2	#FF3333
6	Layer1	56	Layer2	#FF3333
6	Layer1	57	Layer2	#FF3333
6	Layer1	58	Layer2	#FF3333
6	Layer1	59	Layer2	#FF3333
6	Layer1	60	Layer2	#FF3333
6	Layer1	61	Layer2	#FF3333
6	Layer1	62	Layer2	#FF3333
6	Layer1	63	Layer2	#FF3333
6	Layer1	64	Layer2	#FF3333
6	Layer1	65	Layer2	#FF3333
6	Layer1	66	Layer2	#FF3333
6	Layer1	67	Layer2	#FF3333
6	Layer1	68	Layer2	#FF3333
6	Layer1	69	Layer2	#FF3333
6	Layer1	70	Layer2	#FF3333
6	Layer1	71	Layer2	#FF3333
6	Layer1	72	Layer2	#FF3333
6	Layer1	73	Layer2	#FF3333
3	Layer1	57	Layer3	#02F527
3	Layer1	58	Layer3	#02F527
3	Layer1	59	Layer3	#02F527
3	Layer1	60	Layer3	#02F527
3	Layer1	61	Layer3	#02F527
3	Layer1	62	Layer3	#02F527
3	Layer1	63	Layer3	#02F527
3	Layer1	64	Layer3	#02F527
3	Layer1	65	Layer3	#02F527
3	Layer1	66	Layer3	#02F527
3	Layer1	67	Layer3	#02F527
3	Layer1	68	Layer3	#02F527
3	Layer1	69	Layer3	#02F527
3	Layer1	70	Layer3	#02F527
3	Layer1	71	Layer3	#02F527
3	Layer1	72	Layer3	#02F527
3	Layer1	73	Layer3	#02F527
3	Layer1	74	Layer3	#02F527
3	Layer1	75	Layer3	#02F527
3	Layer1	76	Layer3	#02F527
3	Layer1	77	Layer3	#02F527
3	Layer1	78	Layer3	#02F527
3	Layer1	79	Layer3	#02F527
3	Layer1	80	Layer3	#02F527
3	Layer1	81	Layer3	#02F527
3	Layer1	82	Layer3	#02F527
47	Layer2	13	Layer4	#00CCFF
48	Layer2	13	Layer4	#00CCFF
49	Layer2	13	Layer4	#00CCFF
50	Layer2	13	Layer4	#00CCFF
51	Layer2	13	Layer4	#00CCFF
52	Layer2	13	Layer4	#00CCFF
53	Layer2	13	Layer4	#00CCFF
54	Layer2	13	Layer4	#00CCFF
55	Layer2	13	Layer4	#00CCFF
56	Layer2	13	Layer4	#00CCFF
57	Layer2	13	Layer4	#00CCFF
58	Layer2	13	Layer4	#00CCFF
59	Layer2	13	Layer4	#00CCFF
60	Layer2	13	Layer4	#00CCFF
8	Layer3	3	Layer4	#FFFF00
9	Layer3	3	Layer4	#FFFF00
10	Layer3	3	Layer4	#FFFF00
11	Layer3	3	Layer4	#FFFF00
12	Layer3	3	Layer4	#FFFF00
13	Layer3	3	Layer4	#FFFF00
14	Layer3	3	Layer4	#FFFF00
15	Layer3	3	Layer4	#FFFF00
16	Layer3	3	Layer4	#FFFF00
17	Layer3	3	Layer4	#FFFF00
18	Layer3	3	Layer4	#FFFF00
